source,family,implementation,workload,operations_kind,operations,threads,successful_repetitions,expected_repetitions,failed_repetitions,observed_repetitions,complete
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,512.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,1024.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,2048.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,4096.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,16384.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,32768.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,49152.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateReleaseUnpublished,operations,61440.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,512.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,1024.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,2048.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,4096.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,16384.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,32768.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,49152.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,61440.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,ConstructDestroy,,,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateReleaseUnpublished,operations,1024.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateReleaseUnpublished,operations,2048.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateReleaseUnpublished,operations,4096.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateReleaseUnpublished,operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateReleaseUnpublished,operations,16384.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateReleaseUnpublished,operations,32768.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateReleaseUnpublished,operations,49152.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateReleaseUnpublished,operations,61440.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateRetireReclaim,operations,512.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateRetireReclaim,operations,1024.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateRetireReclaim,operations,2048.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateRetireReclaim,operations,4096.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateRetireReclaim,operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateRetireReclaim,operations,16384.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateRetireReclaim,operations,32768.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateRetireReclaim,operations,49152.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateRetireReclaim,operations,61440.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,ConstructDestroy,,,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateReleaseUnpublished,operations,512.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateReleaseUnpublished,operations,1024.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateReleaseUnpublished,operations,2048.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateReleaseUnpublished,operations,4096.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateReleaseUnpublished,operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateReleaseUnpublished,operations,16384.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateReleaseUnpublished,operations,32768.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateReleaseUnpublished,operations,49152.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateReleaseUnpublished,operations,61440.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateRetireReclaim,operations,512.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,arena,std::allocator,AllocateRetireReclaim,operations,1024.0,1,30,30,0,30,True
